key,text,english,notes,tag,checked,checked_by,date,google,chatgpt,gemini,claude,bing
al-azhar,សាកលវិទ្យាល័យ Al-Azhar ត្រូវបានបង្កើតឡើងនៅទីក្រុងគែរ,Al-Azhar University is established in Cairo, ,text,False,,,,,,,
Ibn-Sina,Ibn Sina ឬ Avicenna,Ibn Sina or Avicenna, ,text,False,,,,,,,
life-expectancy, ,Life expectancy 75 years, ,text,False,,,,,,,
430years_c, ,"430 years: Exodus 12:41, Galatians 3:17",2024-12-24,text,False,,,,,,,
maya_calendar, ,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",2024-12-25,text,False,,,,,,,
xia-dynasty2, ,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,2025-01-02,text,False,,,,,,,
xia-dynasty2_c, ,Xia dynasty in China, ,text,False,,,,,,,
tres_zapotes, ,"September 3rd, 32 B.C.E.",2024-12-31,text,False,,,,,,,
joseph_jacob_reunited, ,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),2025-01-01,text,False,,,,,,,
king_south_light_c, ,King of the South from Daniel 11,2025-02-05,text,False,,,,,,,
king_north_light_c, ,King of the North from Daniel 11,2025-02-05,text,False,,,,,,,
daniel2_iron_c, ,Iron legs from Daniel 2,2025-02-05,text,False,,,,,,,
argenteus, ,Codex Argenteus c. 505,written copy of Wulfila Bible,text,False,,,,,,,
nguyen_dynasty_c, ,Nguyễn,2025-09-20,text,False,,,,,,,
edo_c, ,Edo period in Japan,Edo period (Tokugawa shogunate),text,False,,,,,,,
meiji_c, ,Meiji,2025-09-20,text,False,,,,,,,
american_civil_war, ,American Civil War 1861-1865,"April 12, 1861 to May 26, 1865",text,False,,,,,,,
aleppo_codex, ,Aleppo Codex c. 920,2025-10-03,text,False,,,,,,,
vandals, ,Kingdom of the Vandals and Alans 435 – 534,Vandals 435-534 C.E.,text,False,,,,,,,
francia, ,"c. 481/509 – 843, Merovingian till 751, then Carolingian",Kingdom of the Franks (Regnum Francorum) c. 481/509-843 treaty of Verdun,text,False,,,,,,,
francia_c, ,Kingdom of the Franks, ,text,False,,,,,,,
100_years_war, ,Hundred Years’ War 1337 – 1453,1337–1453,text,False,,,,,,,
black_death, ,Black death 1346-1353,1346-1353,text,False,,,,,,,
sui_dynasty, ,581-618 Sui dynasty,2025-11-09,text,False,,,,,,,
sui_dynasty_c, ,Sui,2025-11-09,text,False,,,,,,,
tribulation,"ទុក្ខវេទនា​ជា​ខ្លាំង (ម៉ាកុស 13:19; ដានីយ៉ែល 12:1; ម៉ាថាយ 24:21, 22)","The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)", ,text,False,,,,,,,
Adam,អាដាម​,Adam,Luke 3:38,bible,False,,,,,,,
Seth,សេត​,Seth, ,bible,False,,,,,,,
Enosh,អេណុស,Enosh, ,bible,False,,,,,,,
Kenan,កៃណាន,Kenan (Cainan), ,bible,False,,,,,,,
Mahalalel,ម៉ាហាលាល,Mahalalel (Mahalaleel), ,bible,False,,,,,,,
Jared,យ៉ារេឌ,Jared, ,bible,False,,,,,,,
Enoch,អេណុក,Enoch, ,bible,False,,,,,,,
Methuselah,ម៉េធូសាឡា,Methuselah,Luke 3:37,bible,False,,,,,,,
Lamech,ឡេម៉េក,Lamech, ,bible,False,,,,,,,
Noah,ណូអេ,Noah, ,bible,False,,,,,,,
Shem,សិម​,Shem, ,bible,False,,,,,,,
Arpachshad,អាប៉ាក់សាឌ,Arpachshad,Luke 3:36,bible,False,,,,,,,
Shelah,សេឡា,Shelah, ,bible,False,,,,,,,
Eber,ហេបឺរ​,Eber, ,bible,False,,,,,,,
Peleg,ពេឡេក,Peleg, ,bible,False,,,,,,,
Reu,រេហ៊ូ,Reu, ,bible,False,,,,,,,
Serug,សេរូក,Serug,Luke 3:35,bible,False,,,,,,,
Nahor,ណេឃ័រ,Nahor, ,bible,False,,,,,,,
Terah,ថេរ៉ា,Terah, ,bible,False,,,,,,,
Abraham,អាប្រាហាំ,Abraham, ,bible,False,,,,,,,
Isaac,អ៊ីសាក,Isaac, ,bible,False,,,,,,,
Jacob,យ៉ាកុប,Jacob,Luke 3:34,bible,False,,,,,,,
Joseph,យ៉ូសែប,Joseph,Genesis 37,bible,False,,,,,,,
Moses,ម៉ូសេ,Moses, ,bible,False,,,,,,,
Othniel,អុតនាល,Othniel,Judges 3:9-11,bible,False,,,,,,,
Ehud,អ៊ីហឺត,Ehud,Judges 3:15-18,bible,False,,,,,,,
Shamgar,សាមកើរ,Shamgar,Judges 3:31,bible,False,,,,,,,
Barak,​បារ៉ាក់​,"Barak, Deborah, Jael",Judges 4:6,bible,False,,,,,,,
Gideon,គេឌាន​,Gideon,Judges 7:1,bible,False,,,,,,,
Tola,ថូឡា​,Tola,Judges 10:1,bible,False,,,,,,,
Jair,​យ៉ាអៀ,Jair,Judges 10:3,bible,False,,,,,,,
Jephthah,យែបថា,Jephthah,Judges 11:1,bible,False,,,,,,,
Ibzan,អ៊ីបសេន,Ibzan,Judges 12:8,bible,False,,,,,,,
Elon,អ៊ីឡន,Elon,Judges 12:11,bible,False,,,,,,,
Abdon,​អាប់ដូន,Abdon,Judges 12:13,bible,False,,,,,,,
Samson,​សាំសុន,Samson,Judges 13:24,bible,False,,,,,,,
Samuel,សាំយូអែល,Samuel,1 Samuel 1:20,bible,False,,,,,,,
Saul,សុល,Saul,1 Samuel 9:2,bible,False,,,,,,,
David,ដាវីឌ,David,1 Samuel 16:13,bible,False,,,,,,,
Solomon,​សាឡូម៉ូន​,Solomon,1 Kings 2:1,bible,False,,,,,,,
Malachi,ម៉ាឡាគី,Malachi, ,bible,False,,,,,,,
Ruth,រូថ,Ruth, ,bible,False,,,,,,,
Ezra,អែសរ៉ា,Ezra, ,bible,False,,,,,,,
Nehemiah,នេហេមា,Nehemiah, ,bible,False,,,,,,,
Esther,អេសធើរ,Esther, ,bible,False,,,,,,,
Job,យ៉ូប,Job, ,bible,False,,,,,,,
moses3,ម៉ូសេ,Moses, ,bible,False,,,,,,,
joshua2,យ៉ូស្វេ,Joshua, ,bible,False,,,,,,,
caleb2,កាលែប​,Caleb, ,bible,False,,,,,,,
Augustus,អូគូស,Augustus,Luke 2:1,bible,False,,,,,,,
Tiberius,ទីប៊ែរ,Tiberius,Luke 3:1,bible,False,,,,,,,
Claudius,ក្លូឌាស។,Claudius,Acts 11:28,bible,False,,,,,,,
persia2,ពែរ្ស,Persia, ,bible,False,,,,,,,
jehoiada,យេហូយ៉ាដា,Jehoiada,2 Kings 11:4,bible,False,,,,,,,
Haggai,ហាកាយ,Haggai, ,bible,False,,,,,,,
Zerubbabel,សេរ៉ូបាបិល (លូកា 3:27),Zerubbabel (Luke 3:27),Luke 3:27,bible,False,,,,,,,
Jacob2,យ៉ាកុប/,Jacob/,Jacob/Israel 1858-1711 – 147 years,bible,False,,,,,,,
Israel,អ៊ីស្រាអែល,Israel,Genesis 35:10,bible,False,,,,,,,
Sarah,សារ៉ា,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2",bible,False,,,,,,,
Hagar,ហាកា,Hagar,Genesis 21:14,bible,False,,,,,,,
Haran,ហារ៉ាន,Haran,Genesis 11:26,bible,False,,,,,,,
Reumah,រេយូម៉ា,Reumah,Concubine – 4 sons 22:24,bible,False,,,,,,,
Milcah,មីលកា,Milcah,8 sons (Bethuel and 7 more),bible,False,,,,,,,
Lot,ឡុត,Lot,Genesis 11:27,bible,False,,,,,,,
Ammon,​បេនអាំមី (​អាំម៉ូន),Ben-ammi (Ammon),Genesis 19:38,bible,False,,,,,,,
Bethuel,បេធូអែល,Bethuel,Genesis 22:23,bible,False,,,,,,,
Rebekah,រេបិកា,Rebekah, ,bible,False,,,,,,,
Laban,ឡាបាន់,Laban,Genesis 24:29,bible,False,,,,,,,
Leah,​លេអា​,Leah,Genesis 35:23,bible,False,,,,,,,
Rachel,​រ៉ាជែល​,Rachel,Genesis 35:24,bible,False,,,,,,,
Bilhah,​ប៊ីលហា​,Bilhah,Genesis 35:25,bible,False,,,,,,,
Zilpah,​ស៊ីលផា​,Zilpah,Genesis 35:26,bible,False,,,,,,,
Reuben,រូបេន​,Reuben, ,bible,False,,,,,,,
Simeon,ស៊ីម្មាន,Simeon, ,bible,False,,,,,,,
Levi,លេវី,Levi,Genesis 35:23,bible,False,,,,,,,
Judah,យូដា,Judah, ,bible,False,,,,,,,
Issachar,អ៊ីសាខារ,Issachar, ,bible,False,,,,,,,
Zebulun,​សេប៊ូឡូន,Zebulun, ,bible,False,,,,,,,
Dinah,​ឌីណា​,Dinah,Genesis 34,bible,False,,,,,,,
Esau,​អេសាវ​/,Esau/, ,bible,False,,,,,,,
Edom,អេដំ,Edom,Genesis 36:1,bible,False,,,,,,,
Ishmael,អ៊ីសម៉ាអែល,Ishmael,Genesis 16:16,bible,False,,,,,,,
Manasseh2,(ម៉ាណាសេ,(Manasseh,Genesis 41:50-52,bible,False,,,,,,,
Ephraim,និងអេប្រាអ៊ីម),and Ephraim), ,bible,False,,,,,,,
Benjamin,​បេនយ៉ាមីន,Benjamin, ,bible,False,,,,,,,
Dan,ដាន់,Dan,Genesis 35:23,bible,False,,,,,,,
Naphtali,​ណែបថាលី,Naphtali, ,bible,False,,,,,,,
Gad,កាដ,Gad, ,bible,False,,,,,,,
Asher,​អេស៊ើរ,Asher, ,bible,False,,,,,,,
Milcah1,"គឺ​អ៊ូ​, ប៊ូស, ​កេមូអែល,","Uz, Buz, Kemuel,",Genesis 22:21,bible,False,,,,,,,
Milcah2,"កេសេត, ហាសូ,","Chesed, Hazo,", ,bible,False,,,,,,,
Milcah3,"ពីលដាស, យីតឡាប","Pildash, Jidlaph", ,bible,False,,,,,,,
Tebah,ថេបា,Tebah,Genesis 22:24,bible,False,,,,,,,
Gaham,កាហាំ,Gaham, ,bible,False,,,,,,,
Tahash,តាហាស,Tahash, ,bible,False,,,,,,,
Maacah,​ម៉ាអាកា,Maacah, ,bible,False,,,,,,,
Mahalath,ម៉ាហាឡាត/,Mahalath/,"Genesis 28:8, 9",bible,False,,,,,,,
Basemath,​បាសេម៉ាត,Basemath,"Genesis36:3, 4",bible,False,,,,,,,
Reuel,រូអាល់,Reuel,"36:13, 17",bible,False,,,,,,,
Nahath,ណាហាត,Nahath, ,bible,False,,,,,,,
Zerah,សេរ៉ា,Zerah, ,bible,False,,,,,,,
Schammah,សាម៉ា,Schammah, ,bible,False,,,,,,,
Mizzah,​មីសសា,Mizzah, ,bible,False,,,,,,,
Adah,​អាដា,Adah,"36:11, 12, 15, 16",bible,False,,,,,,,
Eliphaz,អេលីផាស,Eliphaz, ,bible,False,,,,,,,
Teman,ថេម៉ាន,Teman, ,bible,False,,,,,,,
Omar,អូម៉ា,Omar, ,bible,False,,,,,,,
Zepho,សេបផូ,Zepho, ,bible,False,,,,,,,
Kenaz,​កេណាស,Kenaz, ,bible,False,,,,,,,
Korah,​កូរ៉ា,Korah, ,bible,False,,,,,,,
Korah_Gatam, ,"Korah, Gatam","Genesis 36:11, 16",bible,False,,,,,,,
Amalek,អាម៉ាលេក​,Amalek, ,bible,False,,,,,,,
Oholibamah,​អូហូលីបាម៉ា​,Oholibamah,"36:14, 18",bible,False,,,,,,,
Jeush,យេអឺស,Jeush, ,bible,False,,,,,,,
Jalam,ចាឡាម,Jalam, ,bible,False,,,,,,,
Nebaioth,​ណេបេយ៉ោត,Nebaioth,Genesis 25:13,bible,False,,,,,,,
Kedar,​កេដា,Kedar, ,bible,False,,,,,,,
Mishma,មីសម៉ា,Mishma, ,bible,False,,,,,,,
Adbeel_Mibsam, ,"Adbeel, Mibsam",Genesis 25:13,bible,False,,,,,,,
Dumah_Massa, ,"Dumah, Massa",Genesis 25:14,bible,False,,,,,,,
Hadad,តេម៉ា,Hadad, ,bible,False,,,,,,,
Tema,តេម៉ា,Tema, ,bible,False,,,,,,,
Jetur,យេថឺ,Jetur, ,bible,False,,,,,,,
Naphish,ណាភីស,Naphish, ,bible,False,,,,,,,
Kedemah,​កេដេម៉ា,Kedemah, ,bible,False,,,,,,,
Keturah, ,Keturah,Genesis 25:1,bible,False,,,,,,,
Zimran, ,Zimran,Genesis 25:1,bible,False,,,,,,,
Jokshan, ,Jokshan,Genesis 25:1,bible,False,,,,,,,
Medan, ,Medan,Genesis 25:1,bible,False,,,,,,,
Midian, ,Midian,Genesis 25:1,bible,False,,,,,,,
Ishbak, ,Ishbak,Genesis 25:1,bible,False,,,,,,,
Shuah, ,Shuah,Genesis 25:1,bible,False,,,,,,,
Timna, ,Timna,"Genesis 36:12, 1 Chr 1:36",bible,False,,,,,,,
life-expectancy2, ,(Psalm 90:10),2024-11-29,bible,False,,,,,,,
Ham, ,Ham,Gen 10:1,bible,False,,,,,,,
Canaan, ,Canaan,Gen 10:6,bible,False,,,,,,,
Sidon, ,Sidon,Gen 10:15,bible,False,,,,,,,
Heth, ,Heth,Gen 10:15,bible,False,,,,,,,
Jebusite, ,Jebusite,Gen 10:16,bible,False,,,,,,,
Amorite, ,Amorite,Gen 10:16,bible,False,,,,,,,
Girgashite, ,Girgashite,Gen 10:16,bible,False,,,,,,,
Hivite, ,Hivite,Gen 10:17,bible,False,,,,,,,
Arkite, ,Arkite,Gen 10:17,bible,False,,,,,,,
Sinite, ,Sinite,Gen 10:17,bible,False,,,,,,,
Arvadite, ,Arvadite,Gen 10:18,bible,False,,,,,,,
Zemarite, ,Zemarite,Gen 10:18,bible,False,,,,,,,
Hamathite, ,Hamathite,Gen 10:18,bible,False,,,,,,,
Cush, ,Cush,Gen 10:6,bible,False,,,,,,,
Nimrod, ,Nimrod,Gen 10:8,bible,False,,,,,,,
Mizraim, ,Mizraim,Gen 10:14,bible,False,,,,,,,
Casluh, ,Casluh,1 Chronicles 1:12 (Philistines),bible,False,,,,,,,
Japheth, ,Japheth,Gen 10:1,bible,False,,,,,,,
Asshur, ,Asshur,Gen 10:22,bible,False,,,,,,,
Lud, ,Lud,Gen 10:22,bible,False,,,,,,,
Aram, ,Aram,Gen 10:22,bible,False,,,,,,,
Elam, ,Elam,Gen 10:22,bible,False,,,,,,,
Joktan, ,Joktan,Gen 10:26,bible,False,,,,,,,
Almodad, ,Almodad,Gen 10:26,bible,False,,,,,,,
Sheleph, ,Sheleph,Gen 10:26,bible,False,,,,,,,
Hazarmareth, ,Hazarmareth,Gen 10:26,bible,False,,,,,,,
Jerah, ,Jerah,Gen 10:26,bible,False,,,,,,,
Hadoram, ,Hadoram,Gen 10:27,bible,False,,,,,,,
Uzal, ,Uzal,Gen 10:27,bible,False,,,,,,,
Diklah_Obal, ,"Diklah, Obal",Gen 10:27,bible,False,,,,,,,
Abimael, ,Abimael,Gen 10:28,bible,False,,,,,,,
Sheba_Ophir, ,"Sheba, Ophir","Gen 10:28, 29",bible,False,,,,,,,
Havilah, ,Havilah,Gen 10:29,bible,False,,,,,,,
Jobab, ,Jobab,Gen 10:29,bible,False,,,,,,,
Ham_fn, ,1) Egyptians: Psalms 105:23,2025-09-22,bible,False,,,,,,,
Canaan_fn, ,2) Canaanites: Joshua 13:3,2025-09-22,bible,False,,,,,,,
Aram_fn, ,3) Arameans: Hosea 12:12,2025-09-22,bible,False,,,,,,,
Elam_fn, ,4) Elamites: Ezra 4:9,2025-09-22,bible,False,,,,,,,
Asshur_fn, ,5) Assyrians: Ezekiel 27:23,2025-09-22,bible,False,,,,,,,
Casluh_fn, ,6) Philistines: 1 Chronicles 1:12,2025-09-22,bible,False,,,,,,,
Cush_fn, ,7) Ethiopian [Cushite]: 2 Kings 19:9,2025-09-22,bible,False,,,,,,,
Edom_fn, ,8) Edomites: Numbers 20:14-17,2025-09-22,bible,False,,,,,,,
Moab_fn, ,"9) Moabites: Deuteronomy 23:3, 4",2025-09-22,bible,False,,,,,,,
Ammon_fn, ,10) Ammonites: Joshua 12:2,2025-09-22,bible,False,,,,,,,
Midian_fn, ,"11) Midianites: Numbers 31:2, 3",2025-09-22,bible,False,,,,,,,
Amalek_fn, ,12) Amalekites: 1 Samuel 15:2,2025-09-22,bible,False,,,,,,,
Teman_fn, ,13) Temanites: Job 42:7,2025-09-22,bible,False,,,,,,,
Sidon_fn, ,14) Sidonians: Zechariah 9:2,2025-09-22,bible,False,,,,,,,
Heth_fn, ,15) Hittites: Genesis 15:20,2025-09-22,bible,False,,,,,,,
Jebusite_fn, ,16) Jebusites: Joshua 15:63,2025-09-22,bible,False,,,,,,,
Judith, ,Judith?,"Genesis 26:34, 35",bible,False,,,,,,,
Lud_fn, ,17) Lydians: 1 Chronicles 1:17,"Jewish Antiquities, I, 143, 144 [vi, 4]",bible,False,,,,,,,
Ishmael_fn, ,18) Ishmaelites: Genesis 37:27,2025-09-22,bible,False,,,,,,,
Amorite_fn, ,19) Amorites: Judges 6:10,2025-09-22,bible,False,,,,,,,
Hivite_fn, ,"20) Hivites [Gibeon]: Joshua 9:3, 7",Gibeonites,bible,False,,,,,,,
Cain, ,Cain,"Genesis 4:1, son Enoch same name as other",bible,False,,,,,,,
Abel, ,Abel,Genesis 4:2,bible,False,,,,,,,
Irad, ,Irad,Genesis 4:18,bible,False,,,,,,,
Mehujael, ,Mehujael,Genesis 4:18,bible,False,,,,,,,
Methushael, ,Methushael,"Genesis 4:18, son Lamech same as other",bible,False,,,,,,,
Jabal, ,Jabal,"Genesis 4:20 living in tents, have livestock",bible,False,,,,,,,
Jubal, ,Jubal,Genesis 4:21 play harp and pipe,bible,False,,,,,,,
Zillah, ,Zillah,"Genesis 4:19, Adah is also a wife of Esau",bible,False,,,,,,,
Tubal-cain, ,Tubal-cain,Genesis 4:22 tool of copper and iron,bible,False,,,,,,,
Naamah, ,Naamah,Genesis 4:22 his sister,bible,False,,,,,,,
Rehoboam,រេហូបោម,Rehoboam,first king of southern kingdom of Juda,A6-A,False,,,,,,,
Abijah,អាប៊ីយ៉ា (​អាប៊ីយ៉ាម​),Abijah (Abijam),"3 years, also Abijam",A6-A,False,,,,,,,
Asa,អេសា,Asa, ,A6-A,False,,,,,,,
Jehoshaphat,យេហូសាផាត,Jehoshaphat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,A6-A,False,,,,,,,
Jehoram2,យេហូរ៉ាម,Jehoram, ,A6-A,False,,,,,,,
Ahaziah,អាហាស៊ីយ៉ា,Ahaziah, ,A6-A,False,,,,,,,
Athaliah,មហា​ក្សត្រី​អាថាលៀ,Queen Athaliah,Queen Athaliah,A6-A,False,,,,,,,
Jehoash,យេហូអាស,Jehoash, ,A6-A,False,,,,,,,
Amaziah,អាម៉ាស៊ា,Amaziah, ,A6-A,False,,,,,,,
Uzziah,អូសៀស (​អាសារៀ​),Uzziah (Azariah),also Azariah,A6-A,False,,,,,,,
Jeroboam,យេរ៉ូបោម,Jeroboam,first king of northern 10-tribe kingdom,A6-A,False,,,,,,,
Nadab,ណាដាប,Nadab,less than 2,A6-A,False,,,,,,,
Baasha,បាអាសា,Baasha, ,A6-A,False,,,,,,,
Elah,អេឡា,Elah, ,A6-A,False,,,,,,,
Zimri,ស៊ីមរី,Zimri,Only 7 days in ca. 751 BCE,A6-A,False,,,,,,,
OmriTibni,អំរី​និង​ធីបណាយ,Omri and Tibni together,4 years Omri and Tibni,A6-A,False,,,,,,,
Omri,អំរី (​ម្នាក់​ឯង​),Omri (alone),from 947 Omri alone,A6-A,False,,,,,,,
Ahab,អាហាប់,Ahab, ,A6-A,False,,,,,,,
Jehoram,យេហូរ៉ាម,Jehoram, ,A6-A,False,,,,,,,
Jehu,យេហ៊ូ,Jehu, ,A6-A,False,,,,,,,
Jeoahaz,យេហូអាហាស,Jeoahaz, ,A6-A,False,,,,,,,
JeoahazJehoash,យេហូអាហាស​និង​យេហូអាស,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together,A6-A,False,,,,,,,
Jehoash2,យេហូអាស (​ម្នាក់​ឯង​),Jehoash (alone),Jehoash (alone),A6-A,False,,,,,,,
Jeroboam2,យេរ៉ូបោម​ទី​២,Jeroboam II, ,A6-A,False,,,,,,,
Elijah,អេលីយ៉ា,Elijah, ,A6-A,False,,,,,,,
Elisha,អេលីសេ,Elisha, ,A6-A,False,,,,,,,
Jonah,យ៉ូណាស,Jonah, ,A6-A,False,,,,,,,
Amos,អេម៉ុស,Amos, ,A6-A,False,,,,,,,
Joel,យ៉ូអែល,Joel, ,A6-A,False,,,,,,,
Jotham,យ៉ូថាម,Jotham, ,A6-B,False,,,,,,,
Ahaz,អេហាស,Ahaz, ,A6-B,False,,,,,,,
Hezekiah,ហេសេគា,Hezekiah, ,A6-B,False,,,,,,,
Manasseh,ម៉ាណាសេ,Manasseh, ,A6-B,False,,,,,,,
Amon,អេម៉ុន,Amon, ,A6-B,False,,,,,,,
Josiah,យ៉ូសៀស,Josiah, ,A6-B,False,,,,,,,
Jehoahaz,យេហូអាហាស,Jehoahaz,Only 3 months,A6-B,False,,,,,,,
Jehoiakim,យេហូយ៉ាគីម,Jehoiakim, ,A6-B,False,,,,,,,
Jehoiachin,យេហូយ៉ាគីន,Jehoiachin,Only 3 months 10 days,A6-B,False,,,,,,,
Zedekiah,សេដេគា,Zedekiah, ,A6-B,False,,,,,,,
Zechariah,សាការី,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",A6-B,False,,,,,,,
Schallum,សាលូម,Schallum,only one month,A6-B,False,,,,,,,
Menahem,មេណាហិម,Menahem, ,A6-B,False,,,,,,,
Pekahiah,ភេកាហ៊ា,Pekahiah, ,A6-B,False,,,,,,,
Pekah,ភេកា,Pekah, ,A6-B,False,,,,,,,
Hoshea,ហូស៊ា,Hoshea,9 years from c. 748,A6-B,False,,,,,,,
Hosea,ហូសេ,Hosea, ,A6-B,False,,,,,,,
Isaiah,អេសាយ,Isaiah, ,A6-B,False,,,,,,,
Micah,មីកា,Micah, ,A6-B,False,,,,,,,
Zephaniah,សេផានា,Zephaniah, ,A6-B,False,,,,,,,
Nahum,ណាហ៊ុម,Nahum, ,A6-B,False,,,,,,,
Jeremiah,យេរេមា,Jeremiah, ,A6-B,False,,,,,,,
Habakuk,ហាបាគុក,Habakuk, ,A6-B,False,,,,,,,
Daniel,ដានីយ៉ែល,Daniel, ,A6-B,False,,,,,,,
Ezekiel,អេសេគាល,Ezekiel, ,A6-B,False,,,,,,,
Obadiah,អូបាឌា,Obadiah, ,A6-B,False,,,,,,,
Babylon,"ដានីយ៉ែល 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4", ,B9,False,,,,,,,
Medopersia,"ដានីយ៉ែល 2:32, 39; 7:5","Daniel 2:32, 39; 7:5", ,B9,False,,,,,,,
Greece,"ដានីយ៉ែល 2:32, 39; 7:6","Daniel 2:32, 39; 7:6", ,B9,False,,,,,,,
Rome,"ដានីយ៉ែល 2:33, 40; 7:7","Daniel 2:33, 40; 7:7", ,B9,False,,,,,,,
Angloamerica,"ដានីយ៉ែល 2:33, 41-43","Daniel 2:33, 41-43", ,B9,False,,,,,,,
Babylon_c,បាប៊ីឡូន,Babylon, ,B9,False,,,,,,,
Medopersia_c,មេឌី​ពើស៊ី,Medo-Persia, ,B9,False,,,,,,,
Greece_c,ក្រិច,Greece, ,B9,False,,,,,,,
Rome_c,រ៉ូម,Rome, ,B9,False,,,,,,,
Angloamerica_c,អង់គ្លេស​អាម៉េរិក,Anglo-America, ,B9,False,,,,,,,
daniel2_1,ស្ដេច​នេប៊ូក្នេសា​បំផ្លាញ,King Nebuchadnezzar,607 BCE,B9,False,,,,,,,
daniel2_2,យេរូសាឡិម,destroys Jerusalem, ,B9,False,,,,,,,
daniel2_3,ច្បាំង​ឈ្នះ​បាប៊ីឡូន,Conquers Babylon,539 BCE,B9,False,,,,,,,
daniel2_4,ស៊ីរូស​បង្គាប់​ពួក​យូដា​ឲ្យ​ទៅ​,Cyrus decrees return,537 BCE,B9,False,,,,,,,
daniel2_5,យេរូសាឡិម​វិញ,of Jews to Jerusalem, ,B9,False,,,,,,,
daniel2_6,អាឡិចសង់​ដ៏​ខ្លាំង​ក្លា​,Alexander the Great,331 BCE,B9,False,,,,,,,
daniel2_7,ច្បាំង​ឈ្នះ​ពើស៊ី,conquers Persia, ,B9,False,,,,,,,
daniel2_8,គ្រប់​គ្រង​អ៊ីស្រាអែល,Rules over Israel,63 BCE,B9,False,,,,,,,
daniel2_9,បំផ្លាញ​យេរូសាឡិម,Destroys Jerusalem,70 CE,B9,False,,,,,,,
daniel2_10,អំឡុង​សង្គ្រាម​លោក​លើក​ទី​១,"During World War I,",1914-1918 CE,B9,False,,,,,,,
daniel2_11,ចាប់​ផ្ដើម​មាន​ម,Anglo-American World Power, ,B9,False,,,,,,,
daniel2_12,ហា​អំណាច​អង់គ្លេស​អាម៉េរិក,comes into being,End 4.2,B9,False,,,,,,,
607BCE,ឆ្នាំ​607 មុន​គ.ស.,607 B.C.E.,accommodate for language,B9,False,,,,,,,
539BCE,ឆ្នាំ​539 មុន​គ.ស.,539 B.C.E.,systems in style:,B9,False,,,,,,,
537BCE,ឆ្នាំ​537 មុន​គ.ស.,537 B.C.E.,>>year 537 before time<<,B9,False,,,,,,,
331BCE,ឆ្នាំ​331 មុន​គ.ស.,331 B.C.E.,so they need a word,B9,False,,,,,,,
63BCE,ឆ្នាំ​63 មុន​គ.ស.,63 B.C.E.,prior to the year,B9,False,,,,,,,
70CE,ឆ្នាំ​70 គ.ស.,70 C.E.,and something,B9,False,,,,,,,
1914CE,ឆ្នាំ​1914-​1918 គ.ស.,1914-1918 C.E.,after the year,B9,False,,,,,,,
7times,វិវរណៈ 12:9,Revelation 12:9, ,scripture,False,,,,,,,
infliction2,កិច្ចការ 7:6,Acts 7:6, ,scripture,False,,,,,,,
eastern-zhou,770-256 មុនគ.ស,770-256 BC, ,span_bc,False,,,,,,,
430years, ,1943 – 1513 B.C.E., ,span_bce,False,,,,,,,
eastern-han,25-220 គ.ស,25-220 CE, ,span_ce,False,,,,,,,
northern-dynasties,368-581 គ.ស,368-581 CE, ,span_ce,False,,,,,,,
southern-dynasties,420-589 គ.ស,420-589 CE, ,span_ce,False,,,,,,,
khmer_empire,804 – 1431,804 – 1431, ,timespan,True,,,,,,,
byzantine_empire,330 – 1453,330 – 1453, ,timespan,True,,,,,,,
ottoman_empire,1299 – 1922,1299 – 1922, ,timespan,True,,,,,,,
holy_roman_empire,800 – 924,800 – 924, ,timespan,True,,,,,,,
holy_roman_empire2,962 – 1806,962 – 1806, ,timespan,True,,,,,,,
inca_empire,1438 – 1533,1438 – 1533, ,timespan,True,,,,,,,
gupta_empire,319 – 550,319 – 550, ,timespan,True,,,,,,,
Umayyad,661 – 750,661 – 750, ,timespan,True,,,,,,,
Abbasid,750 – 1258,750 – 1258, ,timespan,True,,,,,,,
Mamluk,1250 – 1517,1250 – 1517, ,timespan,True,,,,,,,
seljuk_empire,1037 – 1194,1037 – 1194,"Seljuk Empire 1037-1194, part of Seljuk dynasty 1037-1308",timespan,True,,,,,,,
lombard,568 – 774,568 – 774,Kingdom of the Lombards 568-774,timespan,True,,,,,,,
qing-dynasty,1636-1912,1636-1912, ,timespan,True,,,,,,,
ming-dynasty,1368-1644,1368-1644, ,timespan,True,,,,,,,
yuan-dynasty,1271-1368,1271-1368, ,timespan,True,,,,,,,
southern-song,1127-1279,1127-1279, ,timespan,True,,,,,,,
northern-song,960-1127,960-1127, ,timespan,True,,,,,,,
western-xia,1038-1227,1038-1227, ,timespan,True,,,,,,,
maya_classic,250–950,250–950, ,timespan,True,,,,,,,
maya_postclassic,950-1539,950-1539, ,timespan,True,,,,,,,
tran_dynasty,1225–1400,1225–1400, ,timespan,True,,,,,,,
le_dynasty,1428–1527,1428–1527,triều Lê sơ or Vietnamese: nhà Lê sơ,timespan,True,,,,,,,
